timestamp,symbol,interval,open,high,low,close,volume,ad_line,adx,atr,bollinger_lower,bollinger_middle,bollinger_upper,cci,ema,ichimoku_chikou_span,ichimoku_kijun,ichimoku_senkou_a,ichimoku_senkou_b,ichimoku_tenkan,keltner_lower,keltner_middle,keltner_upper,macd_histogram,macd_macd,macd_signal,momentum,obv,rsi,sma,stochastic_d,stochastic_k,volume_oscillator,vwap,williams_r,hash_rate,hash_rate_age_hours,difficulty,difficulty_age_hours,block_time,block_time_age_hours,miner_reserves,miner_reserves_age_hours,miner_outflows,miner_outflows_age_hours,mpi,mpi_age_hours,exchange_inflow,exchange_inflow_age_hours,exchange_outflow,exchange_outflow_age_hours,exchange_reserves,exchange_reserves_age_hours,etf_flow_total,etf_flow_total_age_hours,events_in_window,high_impact_events_in_window
2019-05-01T00:00:00Z,BTCUSDT,1d,5321.94,5402,5316.2,5383.2,17217.473216,365624.21548281674,51.05588049493861,180.2611496308401,5011.54539875827,5251.790999999999,5492.036601241729,85.82978811847661,5273.876649656983,5383.2,5230.610000000001,5290.805,4705.215,5351,4837.267644884386,5191.424889763732,5545.582134643078,-35.525721882759115,159.83398521484833,195.35970709760744,127.05999999999949,576946.204863,64.09691994995312,5314.985714285714,46.56498698885739,56.465863453815224,-14.839939097381718,5367.133333333334,-43.534136546184776,54003657.444957,0,6353030562984,0,1.126911,0,1353.60591897,0,1329.26311583,0,1115.73419119,0,1451.12785615,0,1335.53345133,0,1003.56235397,0,,,0,0
2019-05-02T00:00:00Z,BTCUSDT,1d,5383.2,5538,5370,5492.87,22795.787835,376172.69492503634,50.082605562705226,179.38535322863723,5031.016670626146,5274.034,5517.051329373853,147.31088929651716,5303.075763036052,5492.87,5230.610000000001,5286.3550000000005,4705.215,5342.1,4867.792427490061,5220.133947881472,5572.475468272883,-25.119856759924687,163.95988614770158,189.07974290762627,135.72999999999956,599741.9926979999,67.573340761405,5331.730714285713,59.630522088353416,78.48795180722888,-11.797962327757109,5466.956666666666,-21.512048192771108,58109198.654223,0,6353030562984,0,1.100862,0,1425.53307514,0,1152.9397433,0,1466.37927849,0,1037.26473932,0,1269.43058317,0,1033.78935228,0,,,0,0
2019-05-03T00:00:00Z,BTCUSDT,1d,5494.81,5844,5477.57,5772.69,46297.172849,404450.3202704902,50.277769106374755,192.74568514087744,5005.406371616841,5310.407499999999,5615.4086283831575,264.2565289264974,5365.690994631245,5772.69,5352.610000000001,5412.805,4827.215,5473,4882.364965445252,5272.758333797522,5663.151702149792,-1.1471829305750418,187.64576424440747,188.79294717498252,279.3799999999992,646039.1655469999,74.38769728730419,5368.445714285713,75.11443437722133,90.38948787061989,4.270573026232339,5698.086666666666,-9.610512129380108,48003251.062184,0,6353030562984,0,1.2282,0,1350.78111763,0,1441.27520884,0,1050.24922091,0,1410.16299853,0,1096.95292469,0,1103.8965918,0,,,0,0
2019-05-04T00:00:00Z,BTCUSDT,1d,5770.62,5900,5587.45,5829.45,39682.408991,426218.19427947095,50.614769716619676,201.30313620224337,4977.053302100259,5345.315,5713.57669789974,239.50905060287178,5427.525528680412,5829.45,5380.610000000001,5455.71,4855.215,5530.8099999999995,4911.912556204525,5325.776587721568,5739.640619238611,15.839663158939658,208.59252612365708,192.75286296471742,414.4499999999998,685721.5745379999,75.51185402467755,5406.854285714284,86.67886251584098,91.15914786967417,7.925244594728636,5772.3,-8.840852130325837,43006075.362215,0,6554050172254.76,0,1.187771,0,1320.04654923,0,1020.63962733,0,1409.12039874,0,1051.05894438,0,1227.84766443,0,1198.73334913,0,,,0,0
2019-05-05T00:00:00Z,BTCUSDT,1d,5829.83,5839.9,5696,5775.62,23822.543775,428757.7204887031,50.92769885470425,197.20291218779738,5000.11183385603,5382.848499999999,5765.585166143968,189.793546060968,5473.938124856357,5775.62,5380.610000000001,5460.005,4886.1,5539.4,4967.361189097032,5368.618817462371,5769.87644582771,20.463751979684673,218.33255293932325,197.86880095963858,555.7200000000003,661899.0307629999,72.27207462503905,5443.959999999998,88.65405652496015,84.41353383458645,1.8891610321071814,5770.506666666667,-15.586466165413547,42978500.69504,0,6702169884349,0,1.196308,0,1316.41811177,0,1199.88461445,0,1389.47397253,0,1313.38151744,0,1389.66849277,0,1328.89503404,0,,,0,0
2019-05-06T00:00:00Z,BTCUSDT,1d,5773.18,5805,5619.14,5747.79,25256.596325,438465.73319427716,50.459576138369506,196.39270417438325,5010.202643772784,5411.551999999999,5812.901356227214,139.26429055422875,5510.451708208842,5747.79,5380.610000000001,5460.005,4890.005,5539.4,5006.426493127627,5404.730358656431,5803.034224185236,18.709319902952444,221.25545083832912,202.54613093537668,433.6899999999996,636642.4344379999,70.58594086531143,5471.863571428569,85.49958228905597,80.92606516290726,-0.9989067874379958,5723.976666666667,-19.073934837092736,50308167.48024,0,6702169884349,0,1.222187,0,1294.55910007,0,1007.4011179,0,1006.08340248,0,1201.55702452,0,1162.83499455,0,1491.88778002,0,,,0,0
2019-05-07T00:00:00Z,BTCUSDT,1d,5749.92,6028.41,5747.74,5846.34,39905.064422,426598.1458949423,50.72668660820454,202.4125110190702,5012.410904043903,5443.727999999999,5875.045095956095,167.3800774201785,5555.236813780996,5846.34,5444.8150000000005,5524.21,4954.21,5603.605,5032.180940760847,5446.788419736771,5861.395898712695,21.071558757400737,228.88557938212762,207.81402062472688,550.6500000000005,676547.4988599998,72.98913116280278,5497.079999999997,81.89543791167632,80.34671473753525,4.820651592481156,5874.163333333333,-19.653285262464756,42312167.350931,0,6702169884349,0,1.267977,0,1030.33062467,0,1374.57633705,0,1309.56247098,0,1131.3582851,0,1397.93775129,0,1304.33517113,0,,,0,0
2019-05-08T00:00:00Z,BTCUSDT,1d,5846.34,6014.72,5772.2,5987.29,23074.186907,444452.7637201427,50.974717758765635,205.27733166056524,4997.523822792955,5480.170499999998,5962.817177207042,155.05737072501688,5612.843905276864,5987.29,5489.205,5549.7425,4954.21,5610.28,5076.61402963589,5498.264760714222,5919.915491792553,28.54805733530179,243.49909229385412,214.95103495855233,679.7699999999995,699621.6857669998,76.008299738877,5537.957857142855,85.61138014038744,95.56136052071979,-0.630500233929923,5924.736666666667,-4.438639479280221,50641334.152295,0,6702169884349,0,1.243073,0,1330.81308666,0,1177.1933168,0,1469.3029098,0,1080.91735514,0,1251.82632323,0,1405.15001294,0,,,0,0
2019-05-09T00:00:00Z,BTCUSDT,1d,5986.66,6224.55,5983.71,6209.18,27453.011436,468401.76597352093,51.73289461417657,207.8175222562392,4961.6631030305325,5527.695499999999,6093.727896969465,180.33180098843133,5692.355384573282,6209.18,5587.275,5678.825,5052.280000000001,5770.375,5138.317316009035,5565.9709739795335,5993.624631950032,43.93847933046217,269.87413412163005,225.93565479116788,971.04,727074.6972029998,79.83041000406591,5608.620714285711,91.48735740963095,98.55399697063778,-1.455072422214941,6139.146666666668,-1.446003029362224,49975000.808186,0,6702169884349,0,1.2587,0,1463.01576128,0,1492.68575698,0,1223.58198157,0,1057.79134522,0,1155.31199887,0,1480.30505227,0,,,0,0
2019-05-10T00:00:00Z,BTCUSDT,1d,6209.95,6468.92,6172,6373.33,36623.61079,481444.27104200603,52.89868854535864,214.1819849522221,4918.01523687859,5581.775499999998,6245.535763121406,189.34258795860538,5783.151999963511,6373.33,5709.46,5814.46,5174.465,5919.46,5198.590017617557,5642.862309791007,6087.134601964456,59.69742726186638,300.55743886850087,240.8600116066345,1052.5199999999995,763698.3079929998,82.10202126566158,5684.279999999997,95.56865640579952,92.59061172604098,2.8336374341671156,6338.083333333333,-7.409388273959023,41645834.006822,0,6702169884349,0,1.259484,0,1384.54673169,0,1328.2521335,0,1119.34480142,0,1109.07987242,0,1208.39273184,0,1287.30354557,0,,,0,0
